"","player","url","mv","citizenship","position","foot","current_club","youth_club","youth_club_country"
"1","Erling Haaland","https://www.transfermarkt.com/erling-haaland/profil/spieler/418560","€200.00m","Norway","Attack - Centre-Forward","left","Manchester City","Bryne FK Yth.","Norway"
"2","Vinicius Junior","https://www.transfermarkt.com/vinicius-junior/profil/spieler/371998","€200.00m","Brazil","Attack - Left Winger","right","Real Madrid","Flamengo U20","Brazil"
"3","Jude Bellingham","https://www.transfermarkt.com/jude-bellingham/profil/spieler/581678","€180.00m","England","Midfield - Attacking Midfield","right","Real Madrid","Birmingham U18","England"
"4","Kylian Mbappé","https://www.transfermarkt.com/kylian-mbappe/profil/spieler/342229","€180.00m","France","Attack - Centre-Forward","right","Real Madrid","AS Bondy Yth.","France"
"5","Lamine Yamal","https://www.transfermarkt.com/lamine-yamal/profil/spieler/937958","€150.00m","Spain","Attack - Right Winger","left","FC Barcelona","Barça Youth","Spain"
"6","Bukayo Saka","https://www.transfermarkt.com/bukayo-saka/profil/spieler/433177","€150.00m","England","Attack - Right Winger","left","Arsenal FC","Watford Yth.","England"
"7","Florian Wirtz","https://www.transfermarkt.com/florian-wirtz/profil/spieler/598577","€140.00m","Germany","Midfield - Attacking Midfield","right","Bayer 04 Leverkusen","Brauweiler Yth.","Germany"
"8","Jamal Musiala","https://www.transfermarkt.com/jamal-musiala/profil/spieler/580195","€140.00m","Germany","Midfield - Attacking Midfield","right","Bayern Munich","TSV Lehnerz Jgd.","Germany"
"9","Phil Foden","https://www.transfermarkt.com/phil-foden/profil/spieler/406635","€140.00m","England","Attack - Right Winger","left","Manchester City","Man City Youth","England"
"10","Cole Palmer","https://www.transfermarkt.com/cole-palmer/profil/spieler/568177","€130.00m","England","Midfield - Attacking Midfield","left","Chelsea FC","Man City Youth","England"
"11","Federico Valverde","https://www.transfermarkt.com/federico-valverde/profil/spieler/369081","€130.00m","Uruguay","Midfield - Central Midfield","right","Real Madrid","CA Peñarol U19","Uruguay"
"12","Rodri","https://www.transfermarkt.com/rodri/profil/spieler/357565","€130.00m","Spain","Midfield - Defensive Midfield","right","Manchester City","CF Rayo Majadaho","Spain"
"13","Rodrygo","https://www.transfermarkt.com/rodrygo/profil/spieler/412363","€110.00m","Brazil","Attack - Right Winger","right","Real Madrid","Santos U20","Brazil"
"14","Declan Rice","https://www.transfermarkt.com/declan-rice/profil/spieler/357662","€110.00m","England","Midfield - Central Midfield","right","Arsenal FC","Chelsea Youth","England"
"15","Martin Ødegaard","https://www.transfermarkt.com/martin-odegaard/profil/spieler/316264","€110.00m","Norway","Midfield - Attacking Midfield","left","Arsenal FC","Godset Yth.","Norway"
"16","Eduardo Camavinga","https://www.transfermarkt.com/eduardo-camavinga/profil/spieler/640428","€100.00m","France","Midfield - Central Midfield","left","Real Madrid","Rennes Jugend","France"
"17","Aurélien Tchouaméni","https://www.transfermarkt.com/aurelien-tchouameni/profil/spieler/413112","€100.00m","France","Midfield - Defensive Midfield","right","Real Madrid","FC Girondins Bo","France"
"18","Lautaro Martínez","https://www.transfermarkt.com/lautaro-martinez/profil/spieler/406625","€100.00m","Argentina","Attack - Centre-Forward","right","Inter Milan","Liniers","Argentina"
